52,53,54,55,56,57,58;98,99,100,101,102,103,104,105,106,107,108,109
91,92,93,94,95;69,70,71,72,73,74,75,76,77,78,79,80,81
1,2,3,4;3,4,5,6
9,10,11;33,34,35
97,98,99,100,101,102,103,104,105,106;77,78,79,80,81,82,83,84,85,86,87,88,89,90
62,63,64,65,66,67,68,69;83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
71,72,73,74,75,76,77,78,79,80,81,82,83;98,99,100,101,102
75,76,77,78,79,80,81,82,83,84,85,86;77,78,79,80,81,82,83,84,85,86,87,88,89,90
84,85,86,87,88,89,90,91,92,93,94,95,96;83,84,85,86,87
86,87,88,89,90,91,92,93,94,95;87,88,89,90,91
69,70,71,72,73,74,75,76;99,100,101,102,103,104,105
87,88,89,90,91,92,93,94,95,96,97,98;76,77,78,79,80,81,82,83,84,85
84,85,86,87,88,89,90,91,92;86,87,88,89,90,91,92,93,94,95
9,10,11;11,12,13
20,25,36,45,89;25,36,77,88,98
82,83,84,85,86,87,88,89,90,91;86,87,88,89,90,91,92,93,94,95
52,53,54,55,56,57,58,59,60,61,62,63;61,62,63,64,65
94,95,96,97,98,99,100,101,102,103,104,105,106,107;90,91,92,93,94,95,96,97,98,99,100,101,102
85,86,87,88,89,90,91,92,93,94,95;52,53,54,55,56,57,58,59,60,61,62
67,68,69,70,71,72,73,74,75,76,77,78,79;74,75,76,77,78,79,80,81,82,83,84,85,86
